,MAL_ID,Name,English name
50,69,Cluster Edge,Unknown
51,71,Full Metal Panic!,Full Metal Panic!
52,72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu
53,73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid
54,74,Gakuen Alice,Gakuen Alice
55,75,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky
56,76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha
57,77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's
58,79,Shuffle!,Shuffle!
59,80,Mobile Suit Gundam,Mobile Suit Gundam
60,81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam:The 08th MS Team
61,82,Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam 0080:War in the Pocket
62,83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Unknown
63,84,Mobile Suit Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083:Stardust Memory
64,85,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam
65,86,Mobile Suit Gundam ZZ,Mobile Suit Gundam ZZ
66,87,Mobile Suit Gundam: Char's Counterattack,Mobile Suit Gundam:Char's Counterattack
67,88,Mobile Suit Gundam F91,Mobile Suit Gundam F91
68,89,Mobile Suit Victory Gundam,Mobile Suit V Gundam
69,90,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing
70,91,Mobile Suit Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing:Endless Waltz
71,92,After War Gundam X,After War Gundam X
72,93,Mobile Suit Gundam SEED,Mobile Suit Gundam SEED
73,94,Mobile Suit Gundam SEED Destiny,Unknown
74,95,Turn A Gundam,∀ Gundam
75,96,Mobile Fighter G Gundam,Mobile Fighter G Gundam
76,97,Last Exile,Last Exile
77,98,Mai-HiME,My-Hime
78,99,Mai-Otome,My-Otome
79,100,Shin Shirayuki-hime Densetsu Prétear,Prétear:The New Legend of Snow White
80,101,Air,Air
81,102,Aishiteruze Baby★★,Unknown
82,103,Akazukin Chacha,Red Riding Hood Chacha
83,104,Ayashi no Ceres,"Ceres, Celestial Legend"
84,105,Boys Be...,Boys Be...
85,106,Hana yori Dango,Hana Yori Dango
86,107,Ou Dorobou Jing,Jing:King of Bandits
87,108,Ou Dorobou Jing in Seventh Heaven,Jing:King of Bandits - Seventh Heaven
88,109,Bakuretsu Tenshi,Burst Angel
89,110,Chuuka Ichiban!,Unknown
90,111,Corrector Yui,Corrector Yui
91,112,Chou Henshin Cosprayers,The Cosmopolitan Prayers
92,113,Uchuu no Stellvia,Stellvia
93,114,Sakigake!! Cromartie Koukou,Cromartie High School
94,115,El Hazard: The Alternative World,Unknown
95,116,El Hazard: The Wanderers,El-Hazard:The Wanderers
96,117,El Hazard: The Magnificent World,Unknown
97,118,El Hazard 2: The Magnificent World,Unknown
98,119,Final Approach,Unknown
99,120,Fruits Basket,Fruits Basket
100,121,Fullmetal Alchemist,Fullmetal Alchemist
101,122,Full Moon wo Sagashite,Searching for the Full Moon
102,123,Fushigi Yuugi,Mysterious Play
103,124,Fushigi Yuugi: Eikouden,Mysterious Play:Eikoden
104,125,Futakoi,Twin Love
105,126,Futakoi Alternative,Unknown
106,127,Gate Keepers,Unknown
107,128,Gate Keepers 21,Unknown
108,129,Gensoumaden Saiyuuki,Saiyuki
109,130,Saiyuuki Reload,Saiyuki Reload
110,131,Saiyuuki Reload Gunlock,Saiyuki Gunlock
111,132,GetBackers,Getbackers
112,133,Green Green,Green Green
113,134,Gunslinger Girl,Gunslinger Girl
114,135,Hikaru no Go,Hikaru no Go
115,136,Hunter x Hunter,Hunter x Hunter
116,137,Hunter x Hunter: Original Video Animation,Unknown
117,138,Hunter x Hunter: Greed Island,Unknown
118,139,Hunter x Hunter: Greed Island Final,Unknown
119,141,Jinki:Extend,Jinki:Extend
120,142,Kamikaze Kaitou Jeanne,Unknown
121,143,Kannazuki no Miko,Destiny of the Shrine Maiden
122,144,Kanon,Unknown
123,145,Kareshi Kanojo no Jijou,His and Her Circumstances
124,146,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World
125,147,Kimi ga Nozomu Eien,Rumbling Hearts
126,148,Kita e.: Diamond Dust Drops,Diamond Daydreams
127,149,Loveless,Loveless
128,150,Blood+,Blood+
129,151,Re: Cutey Honey,Unknown
130,152,Solty Rei,Unknown
131,153,Juuni Kokuki,The Twelve Kingdoms
132,154,Shaman King,Shaman King
133,155,X/1999,X - The Movie
134,156,X,X
135,157,Mahou Sensei Negima!,Negima!
136,158,Maria-sama ga Miteru,Maria Watches Over Us
137,159,Boukyaku no Senritsu,The Melody of Oblivion
138,160,"Ima, Soko ni Iru Boku","Now and Then, Here and There"
139,161,Peace Maker Kurogane,Peace Maker Kurogane
140,162,Pita Ten,Pita-Ten
141,163,Power Stone,Unknown
142,164,Mononoke Hime,Princess Mononoke
143,165,RahXephon,RahXephon
144,166,Samurai 7,Samurai 7
145,167,Scrapped Princess,Scrapped Princess
146,168,s.CRY.ed,s-CRY-ed
147,169,Shingetsutan Tsukihime,Lunar Legend Tsukihime
148,170,Slam Dunk,Slam Dunk
149,171,Strange Dawn,Unknown
150,173,Tactics,Unknown
151,174,Tenjou Tenge,Tenjho Tenge
152,175,Tokyo Underground,Tokyo Underground
153,176,Triangle Heart: Sweet Songs Forever,Unknown
154,177,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE
155,178,Ultra Maniac,Ultramaniac - Magical Girl
156,179,Ultra Maniac OVA,Unknown
157,180,Vandread,Vandread
158,181,Vandread: The Second Stage,Unknown
159,182,Tenkuu no Escaflowne,The Vision of Escaflowne
160,183,Whistle!,Unknown
161,184,Xenosaga The Animation,Unknown
162,185,Initial D First Stage,Initial D First Stage
163,186,Initial D Second Stage,Initial D Second Stage
164,187,Initial D Third Stage,Unknown
165,188,Gosenzo San'e,Masquerade
166,189,Love Hina,Love Hina
167,190,Love Hina Again,Love Hina Again
168,191,Love Hina Christmas Special: Silent Eve,Love Hina Christmas Movie
169,192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,Love Hina Spring Movie
170,193,Maburaho,Maburaho
171,194,Macross Zero,Macross Zero
172,195,Onegai☆Teacher,Please Teacher!
173,196,Onegai☆Twins,Please Twins
174,197,Rizelmine,Unknown
175,198,Speed Grapher,Speed Grapher
176,199,Sen to Chihiro no Kamikakushi,Spirited Away
177,200,Tenshi na Konamaiki,Cheeky Angel
178,201,Video Girl Ai,Video Girl Ai
179,202,Wolf's Rain,Wolf's Rain
180,203,Words Worth,Unknown
181,204,Yumeria,Unknown
182,205,Samurai Champloo,Samurai Champloo
183,206,Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War:Chronicles of the Heroic Knight
184,207,Lodoss-tou Senki,Record of Lodoss War
185,208,R.O.D: Read or Die,R.O.D - Read or Die
186,209,R.O.D: The TV,R.O.D -The TV-
187,210,Ranma ½,Ranma ½
188,211,Pure Mail,Unknown
189,212,Project A-Ko,Unknown
190,213,Pia Carrot e Youkoso!!,Welcome to Pia Carrot
191,214,Pia Carrot e Youkoso!! 2,Welcome To Pia Carrot 2
192,215,Pia Carrot e Youkoso!! 2 DX,Unknown
193,216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Welcome to Pia Carrot! Sayaka's Love Story
194,217,Shin Angel,New Angel
195,218,Kidou Senkan Nadesico,Martian Successor Nadesico
196,219,Kidou Senkan Nadesico: The Prince of Darkness,Martian Successor Nadesico:The Prince of Darkness
197,220,Kuro no Danshou,Mystery of the Necronomicon
198,221,Mezzo Forte,Unknown
199,222,Mezzo DSA,Unknown
200,223,Dragon Ball,Dragon Ball
201,225,Dragon Ball GT,Dragon Ball GT
202,226,Elfen Lied,Elfen Lied
203,227,FLCL,FLCL
204,228,Jigoku Shoujo,Hell Girl
205,229,Ninin ga Shinobuden,Ninja Nonsense
206,230,Air Master,Air Master
207,231,Asagiri no Miko,Shrine of the Morning Mist
208,232,Cardcaptor Sakura,Cardcaptor Sakura
209,233,Daa! Daa! Daa!,Unknown
210,234,Dan Doh!!,Unknown
211,235,Detective Conan,Case Closed
212,236,E's Otherwise,E's Otherwise
213,237,Koukyoushihen Eureka Seven,Eureka Seven
214,238,Rekka no Honoo,Flame of Recca
215,239,Gankutsuou,Gankutsuou:The Count of Monte Cristo
216,240,Genshiken,Genshiken
217,241,Girls Bravo: First Season,Girls Bravo
218,242,Gokusen,The Gokusen
219,243,Gravitation,Gravitation
220,244,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple
221,245,Great Teacher Onizuka,Great Teacher Onizuka
222,246,Groove Adventure Rave,Rave Master
223,247,Harukanaru Toki no Naka de: Hachiyou Shou,Haruka:Beyond the Stream of Time – A Tale of the Eight Guardians
224,248,Ichigo 100%,Strawberry 100%
225,249,InuYasha,InuYasha
226,250,Konjiki no Gash Bell!!,Zatch Bell!
227,251,Kyou kara Maou!,King From Now On!
228,252,Madlax,Unknown
229,253,Jungle wa Itsumo Hare nochi Guu,Haré+Guu
230,254,Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe
231,255,Jungle wa Itsumo Hare nochi Guu Final,Unknown
232,256,Hoshi no Koe,Voices of a Distant Star
233,257,Ikkitousen,Ikki Tousen
234,258,Hitsuji no Uta,Unknown
235,259,Happy☆Lesson,Unknown
236,260,Happy☆Lesson (TV),Unknown
237,261,Happy☆Lesson: Advance,Unknown
238,262,Happy☆Lesson: The Final,Unknown
239,263,Hajime no Ippo,Fighting Spirit
240,264,Hajime no Ippo: Champion Road,Fighting Spirit:Champion Road
241,265,Hajime no Ippo: Mashiba vs. Kimura,Unknown
242,266,Gunparade March: Arata Naru Kougunka,Gunparade March:A New Song for the March
243,267,Gungrave,Gungrave
244,268,Golden Boy,Golden Boy
245,269,Bleach,Bleach
246,270,Hellsing,Hellsing
247,271,Gad Guard,Unknown
248,272,Noir,Noir
249,273,Mahoutsukai ni Taisetsu na Koto,Someday's Dreamers
250,274,Kiddy Grade,Kiddy Grade
251,275,Love♥Love?,Love♥Love?
252,276,Mahoromatic: Automatic Maiden,Mahoromatic:Automatic Maiden
253,277,Mahoromatic: Motto Utsukushii Mono,Mahoromatic ~Something More Beautiful~
254,278,Viewtiful Joe,Unknown
255,279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Requiem from the Darkness
256,280,Animal Yokochou,Animal Lane
257,281,Akane Maniax,Unknown
258,282,Angel Heart,Unknown
259,283,Akage no Anne,Anne of Green Gables
260,284,Area 88 (TV),Unknown
261,285,Argento Soma,Unknown
262,286,B'T X,Unknown
263,287,Grappler Baki (TV),Unknown
264,288,Bakuten Shoot Beyblade,Beyblade
265,289,Comic Party,Comic Party
266,290,Seikai no Monshou,Crest of the Stars
267,291,D.C.S.S: Da Capo Second Season,D.C.S.S. ~Da Capo Second Season~
268,292,Dear Boys,Hoop Days
269,293,Di Gi Charat,Unknown
270,294,Divergence Eve,Unknown
271,295,Divergence Eve 2: Misaki Chronicles,Misaki Chronicle:Divergence Eve
272,296,Dragon Drive,Dragon Drive
273,297,Grenadier: Hohoemi no Senshi,Grenadier:The Beautiful Warrior
274,298,.hack//Tasogare no Udewa Densetsu,.hack//Legend Of The Twilight
275,299,.hack//Liminality,.hack//Liminality
276,300,3x3 Eyes,3x3 Eyes
277,301,Cinderella Boy,Unknown
278,302,Mirai Shounen Conan,Future Boy Conan
279,303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Oh! My Goddess:The Adventures of Mini-Goddess
280,304,Aa! Megami-sama! Movie,Ah! My Goddess:The Movie
281,305,Abashiri Ikka,Unknown
282,306,Abenobashi Mahou☆Shoutengai,Magical☆Shopping Arcade Abenobashi
283,307,Kerokko Demetan,Adventures On Rainbow Pond
284,308,Zettai Shounen,Unknown
285,309,Akahori Gedou Hour Rabuge,Akahori's Heretical Hour Love Game
286,310,"Chiisana Obake: Acchi, Kocchi, Socchi",Three Little Ghosts
287,311,Ace wo Nerae!,Unknown
288,312,Ace wo Nerae!: Final Stage,Unknown
289,313,Ace wo Nerae! (1979),Aim for the Ace! (1979)
290,314,Ace wo Nerae! 2,Unknown
291,315,Xiao Qian,A Chinese Ghost Story
292,316,Nageki no Kenkou Yuuryouji,"F3:Frantic, Frustrated & Female"
293,317,Final Fantasy VII: Advent Children,Unknown
294,318,Hand Maid May,Unknown
295,319,Happy World!,Unknown
296,320,A Kite,Kite
297,321,Najica Dengeki Sakusen,Najica Blitz Tactics
298,322,Paradise Kiss,Paradise Kiss
299,323,Mousou Dairinin,Paranoia Agent
300,324,Kidou Keisatsu Patlabor: On Television,Patlabor:The Mobile Police - The TV Series
301,325,Peach Girl,Peach Girl:Super Pop Love Hurricane
302,326,Petshop of Horrors,Pet Shop of Horrors
303,327,Puchi Pri*Yucie,Petite Princess Yucie
304,328,Piano (TV),Piano:The Melody of a Young Girl's Heart
305,329,Planetes,Planetes
306,330,Midori no Hibi,Midori Days
307,331,Mahoujin Guruguru,Magical Circle Guru Guru
308,332,Dokidoki♡Densetsu: Mahoujin Guruguru,Magical Circle Guru Guru 2
309,333,Mama wa Shougaku 4 Nensei,Mama is Just a Fourth Grade Pupil
310,334,Marmalade Boy,Marmalade Boy
311,335,Matantei Loki Ragnarok,Mythical Detective Loki Ragnarok
312,336,Ginyuu Mokushiroku Meine Liebe,Unknown
313,337,Psychic Academy,Psychic Academy
314,338,Versailles no Bara,The Rose of Versailles
315,339,Serial Experiments Lain,Serial Experiments Lain
316,340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,Time of Shura
317,341,Spiral: Suiri no Kizuna,Spiral:Bond of Reasoning
318,342,Starship Operators,Unknown
319,343,Tsukuyomi: Moon Phase,Tsukuyomi:Moon Phase
320,344,Futatsu no Spica,Twin Spica
321,345,Eikoku Koi Monogatari Emma,Emma:A Victorian Romance
322,346,W: Wish,Double Wish
323,347,Wild Arms: Twilight Venom,Wild Arms
324,348,Binzume Yousei,Bottle Fairy
325,349,Magical Canan,Magical Kanan
326,350,Ojamajo Doremi,Magical DoReMi
327,351,Ojamajo Doremi Sharp,Unknown
328,352,Motto! Ojamajo Doremi,More! Useless Witch Doremi
329,353,Ojamajo Doremi Dokkaan!,Useless Witch Doremi Kaboom!
330,354,UG☆Ultimate Girls,Ultimate Girls
331,355,Shakugan no Shana,Shakugan no Shana:Season I
332,356,Fate/stay night,Fate/stay night
333,357,Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokuro-chan
334,358,"Iriya no Sora, UFO no Natsu",Unknown
335,359,I'll/CKBC,I'll/CKBC
336,360,Himiko-den,Legend of Himiko
337,361,Memories Off,Unknown
338,362,Memories Off 2nd,Unknown
339,363,Memories Off 3.5,Unknown
340,364,Gallery Fake,Unknown
341,365,Fake,Unknown
342,366,AIKa,Agent AIKa
343,367,Akazukin Chacha OVA,Unknown
344,368,Bible Black,Unknown
345,369,Boogiepop wa Warawanai,Boogiepop Phantom
346,370,Burn Up Excess,Burn Up Excess
347,371,Cardcaptor Sakura Movie 1,Cardcaptor Sakura The Movie
348,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Card Captor Sakura Movie 2:The Sealed Card
349,373,Bannou Bunka Neko-Musume,All Purpose Cultural Cat Girl Nuku Nuku
350,374,Bannou Bunka Neko-Musume DASH!,All Purpose Cultural Cat Girl Nuku Nuku Dash!
351,375,Bannou Bunka Neko-Musume (1998),All Purpose Cultural Cat Girl Nuku Nuku TV
352,376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",Elfen Lied:In the Passing Rain
353,377,eX-Driver,Unknown
354,378,eX-Driver the Movie,Unknown
355,379,Heppoko Jikken Animation Excel♥Saga,Excel Saga
356,380,Fushigi Yuugi OVA,Mysterious Play OVA
357,381,Fushigi Yuugi: Dai Ni Bu,Mysterious Play OVA 2
358,382,Futari Ecchi,Step Up Love Story
359,383,Galaxy Angel,Unknown
360,384,Gantz,Gantz
361,385,Gilgamesh,Gilgamesh
362,386,H2,Unknown
363,387,Haibane Renmei,Haibane Renmei
364,388,Capeta,Unknown
365,389,Karas,Karas
366,390,Suzuka,Suzuka
367,391,Tales of Phantasia The Animation,Tales of Phantasia
368,392,Yuu☆Yuu☆Hakusho,Yu Yu Hakusho:Ghost Files
369,393,Escaflowne,Escaflowne:A Girl in Gaea
370,394,Ai Yori Aoshi: Enishi,Ai Yori Aoshi:Enishi
371,395,Gantz 2nd Stage,Gantz:Second Stage
372,396,Seikai no Senki,Banner of the Stars
373,397,Seikai no Senki II,Banner of the Stars II
374,398,Seikai no Senki III,Unknown
375,399,Seikai no Senki Special,Unknown
376,400,Seihou Bukyou Outlaw Star,Outlaw Star
377,401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Samurai X:Reflection
378,402,Otogi Juushi Akazukin OVA,Unknown
379,403,Hanaukyou Maid-tai,Unknown
380,404,Bastard!!: Ankoku no Hakaishin,Bastard!!
381,405,Blood: The Last Vampire,Blood:The Last Vampire
382,406,Buzzer Beater,Unknown
383,407,Tantei Gakuen Q,Detective School Q
384,408,Final Fantasy VII: Last Order,Final Fantasy VII:Last Order
385,411,Gun x Sword,Gun x Sword
386,412,Kore ga Watashi no Goshujinsama,He is My Master
387,413,Hametsu no Mars,Mars of Destruction
388,415,Tonari no Yamada-kun,My Neighbors the Yamadas
389,416,Kurenai no Buta,Porco Rosso
390,417,Ragnarök The Animation,Ragnarok the Animation
391,418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,"Ranma ½:Big Trouble in Nekonron, China"
392,419,Samurai Deeper Kyou,Samurai Deeper Kyo
393,420,Spriggan,Spriggan
394,421,Stratos 4,Unknown
395,422,Stratos 4 OVA,Unknown
396,423,Stratos 4 Advance,Unknown
397,424,Dirty Pair,Dirty Pair
398,425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,Araiso Private High School Student Council Executive Committee
399,426,Final Fantasy,Legend of the Crystals:Final Fantasy
400,427,Kaleido Star,Kaleido Star
401,428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,Kaleido Star:New Wings Extra Stage
402,429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,Kaleido Star:Legend of Phoenix - The Layla Hamilton Story
403,430,Fullmetal Alchemist: The Conqueror of Shamballa,Fullmetal Alchemist:The Movie - Conqueror of Shamballa
404,431,Howl no Ugoku Shiro,Howl's Moving Castle
405,432,Iria: Zeiram The Animation,Iria:Zeiram The Animation
406,433,"Kumo no Mukou, Yakusoku no Basho",The Place Promised in Our Early Days
407,434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,Legend of Lemnear
408,435,Magic Knight Rayearth,Magic Knight Rayearth
409,437,Perfect Blue,Perfect Blue
410,438,Phantom The Animation,Phantom:The Animation
411,439,RG Veda,RG Veda
412,440,Shoujo Kakumei Utena,Revolutionary Girl Utena
413,441,Shoujo Kakumei Utena: Adolescence Mokushiroku,Revolutionary Girl Utena:The Adolescence of Utena
414,442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Naruto the Movie:Ninja Clash in the Land of Snow
415,443,Onegai☆Teacher: Himitsu na Futari,Unknown
416,444,Maria-sama ga Miteru: Haru,Maria Watches Over Us:Printemps
417,445,Tales of Eternia The Animation,Tales of Eternia
418,446,Weiß Kreuz Glühen,Knight Hunters Eternity
419,447,Weiß Kreuz,Knight Hunters
420,448,Tenjou Tenge: The Ultimate Fight,Tenjho Tenge:The Ultimate Fight
421,449,InuYasha Movie 4: Guren no Houraijima,InuYasha the Movie 4:Fire on the Mystic Island
422,450,InuYasha Movie 2: Kagami no Naka no Mugenjo,InuYasha the Movie 2:The Castle Beyond the Looking Glass
423,451,InuYasha Movie 3: Tenka Hadou no Ken,InuYasha the Movie 3:Swords of an Honorable Ruler
424,452,InuYasha Movie 1: Toki wo Koeru Omoi,InuYasha the Movie:Affections Touching Across Time
425,454,.hack//Gift,.hack//Gift
426,455,Fantastic Children,Fantastic Children
427,456,Gokujou Seitokai,Best Student Council
428,457,Mushishi,Mushi-Shi
429,458,Buttobi!! CPU,I Dream of Mimi
430,459,One Piece Movie 1,Unknown
431,460,One Piece Movie 2: Nejimaki-jima no Daibouken,One Piece:Clockwork Island Adventure
432,461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,One Piece:Chopper Kingdom of Strange Animal Island
433,462,One Piece Movie 4: Dead End no Bouken,One Piece:Dead End
434,463,One Piece Movie 5: Norowareta Seiken,One Piece:The Curse of the Sacred Sword
435,464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,One Piece:Baron Omatsuri and the Secret Island
436,465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,Unknown
437,466,One Piece: Taose! Kaizoku Ganzack,One Piece:Defeat the Pirate Ganzack!
438,467,Koukaku Kidoutai: Stand Alone Complex,Ghost in the Shell:Stand Alone Complex
439,468,Innocence,Ghost in the Shell 2:Innocence
440,469,Karin,Karin
441,470,Okusama wa Joshikousei (TV),My Wife is a High School Girl
442,471,To Heart 2,To Heart 2
443,472,To Heart,To Heart
444,473,Tide-Line Blue,Unknown
445,474,Macross Plus,Unknown
446,475,Hotori: Tada Saiwai wo Koinegau,Unknown
447,476,Ginban Kaleidoscope,Skating Rink Kaleidoscope
448,477,Aria the Animation,Aria the Animation
449,478,Sousei no Aquarion,Aquarion
450,479,Ueki no Housoku,The Law of Ueki
451,481,Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!
452,482,Yu☆Gi☆Oh!: Duel Monsters GX,Yu-Gi-Oh! GX
453,483,Kurau Phantom Memory,Unknown
454,484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Saiyuki:Requiem
455,485,Damekko Doubutsu,Unknown
456,486,Kino no Tabi: The Beautiful World,Kino's Journey
457,487,Girls Bravo: Second Season,Girls Bravo:Second Season
458,488,Ichigo Mashimaro,Strawberry Marshmallow
459,489,Kamichu!,Kamichu!
460,490,Paniponi Dash!,Pani Poni Dash!
461,492,Armitage III: Dual-Matrix,Unknown
462,493,Armitage III: Poly-Matrix,Unknown
463,495,Bakuretsu Hunters,Sorcerer Hunters
464,496,Kamui no Ken,Unknown
465,497,Yami to Boushi to Hon no Tabibito,"Yamibo:Darkness, The Hat and the Travelers of the Books"
466,498,Haja Taisei Dangaiou,Great Planet Evil-Destroyer Dangaio
467,499,Makai Toshi Shinjuku,Demon City Shinjuku
468,501,Doraemon,Unknown
469,502,Dragon Ball Movie 1: Shen Long no Densetsu,Dragon Ball:Curse of the Blood Rubies
470,503,Eien no Aselia,The Eternal Aseria
471,504,Fatal Fury: The Motion Picture,Fatal Fury:The Motion Picture
472,505,Fushigiboshi no☆Futagohime,Unknown
473,506,Glass no Kamen,Unknown
474,507,Gravitation: Lyrics of Love,Unknown
475,508,Tottoko Hamtarou,Hamtaro
476,509,I My Me! Strawberry Eggs,I My Me! Strawberry Eggs
477,510,Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,Kakyusei 2
478,511,Kidou Shinsengumi Moeyo Ken TV,Moeyo Ken TV
479,512,Majo no Takkyuubin,Kiki's Delivery Service
480,513,Tenkuu no Shiro Laputa,Castle in the Sky
481,514,Cossette no Shouzou,Le Portrait de Petit Cossette
482,515,Hajimari no Boukensha-tachi: Legend of Crystania,Legend of Crystania:The Motion Picture
483,516,Keroro Gunsou,Sgt. Frog
484,517,School Rumble: Ichi Gakki Hoshuu,Unknown
485,518,Mahou no Princess Minky Momo,Magical Princess Minky Momo
486,519,Mahoraba: Heartful days,Unknown
487,520,Marmalade Boy Movie,Unknown
488,521,Mermaid Melody Pichi Pichi Pitch,Mermaid Melody:Pichi Pichi Pitch
489,522,Metropolis,Unknown
490,523,Tonari no Totoro,My Neighbor Totoro
491,524,Onegai☆Twins: Natsu wa Owaranai,Unknown
492,525,Otogizoushi,Otogi Zoshi:The Legend of Magatama
493,526,Boku no Chikyuu wo Mamotte,Please Save My Earth
494,527,Pokemon,Pokémon
495,528,Pokemon Movie 01: Mewtwo no Gyakushuu,Pokemon:The First Movie
496,529,Saishuu Heiki Kanojo,"She, The Ultimate Weapon"
497,530,Bishoujo Senshi Sailor Moon,Sailor Moon
498,531,Bishoujo Senshi Sailor Moon R: The Movie,Sailor Moon R:The Movie - The Promise of the Rose
499,532,Bishoujo Senshi Sailor Moon S,Sailor Moon S
500,533,Sensei no Ojikan: Doki Doki School Hours,Teacher's Time
501,534,Slayers,Slayers
502,535,Slayers Next,Slayers Next
503,536,Slayers: The Motion Picture,Slayers:The Motion Picture
504,537,Tekken,Tekken:The Motion Picture
505,538,Shin Tenchi Muyou!,Tenchi in Tokyo
506,539,Tenchi Muyou! Ryououki,Tenchi Muyo! Ryo-Ohki
507,540,Tenchi Muyou! Ryououki 2nd Season,Tenchi Muyo! Ryo-Ohki
508,541,Tenchi Muyou! Ryououki 3rd Season,Unknown
509,543,Vampire Hunter D (2000),Vampire Hunter D:Bloodlust
510,544,Venus Senki,Venus Wars
